reference	hypA	nbrA	hypB	nbrB
donc c' est c' est là ou ou anne parle de récit	donc c' est c' est c' est là où où euh anne parle de récit	7	donc c' est c' est c' est là où euh on ne parle de récit	0
mais le financement de la dépendance parce qu' aujourd'hui la	mais le financement de la dépendance parce qu aujourd' hui la	7	mais le financement de l' indépendance parce que aujo	0
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement euh de nicolas sarkozy	0	euh a su euh résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	7
aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	si les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	1	aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont en retraités	6
le le rapport de force si j' ose dire au au sénat	euh le le rapport de force si j' ose dire au sénat	6	euh le le rapport de force si j' ose dire au au sénat	1
vous avez raison y a pas d' interdiction absolue	avez raison il y a pas d' interdiction absolue	1	vous avez raison euh y a pas d' interdiction euh absolue	6
ont représenté environ vingt pour cent des règlements de comptes commis sur le territoire français métropolitain	représenter environ vingt pour cent des règlements de comptes commis sur le territoire français métropolitain	2	ont représenté environ vingt pourcent des règlements de comptes commis sur le territoire français métropolicain	5
un excès de testostérone risque de stériliser le débat des idées dans cette campagne et ça serait vraiment dommage	excet e stosteron risque de stériliser le débat des idées dans cette campagne ce serait vraiment dommage	6	escuces testosteron risque de stériliser le débat des idées dans cette campagne et ce serait vraiment dommage	1
la reprise par alexandre pougatchev notre franco russe	euh la reprise par euh alexandre pugacchev notre franco russe	0	euh la reprise par euh alexandre pougatschev notre franco-russe	7
oui alors c' est c' est un peu l' avenir	oui alors euh euh c' est c' est un peu l' avenir	3	oui alors euh euh c'est c' est un peu l' avenir	4
ce matin nous avons la sortie du live de la tournée d' hubert félix thiéfaine	matin nous avons la sortie du live de la tournée de hubert félix thiéfaine	2	ce matin nous avons la sortie du live de la tournée d' hubert falixtieiffen	5
elle me paraît judicieuse attendons que monsieur gallois remette	elle me paraît judicieuse attendons que monsieur gallois aurmetre son rapport	0	elle me paraît judicieuse attendons que monsieur gaillois remettre son rapport	7
écoutez l' ambiance est très bonne tout le monde attend avec impatience	écoutez l' ambiance est très bonne tout monde attenton ta attends avec impatience euh	7	écoutez l' ambiance c' est très bonne tout le monsde attendton à attend avec impatience euh	0
demain mais pourquoi cette initiative	mais pourquoi cette initiative	0	demain mais pourquoi cette euh initiative	7
exactement d' ailleurs vous avez le leader le le président des pigeons entre guillemets qui est au premier rang	d' ailleurs vous avez le leader le le le président des pigeons entre guillemets qui est au premier rang	4	exactement d' ailleurs vous avez le leader euh le le le président des pigeon entre guillemets qui est au premier rang	3
oui mais l' association des amis de nicolas sarkozy qui est non mais attendez l' association	oui mais l' association des amis de nicolas sarkozy qui est se pose une question' attdez'o	7	oui mais de l' association des alnens e s colas sar o i qui e e o po e e e e e e e o on en e e e e e e sociatie)	0
la plus grosse difficulté dans notre discipline c' est les qualifications elles sont très rudes	la plus grosse difficulté dans une discipline c' est les qualifications sont très rude	2	la plus grosse difficulté dans de discipline c' est les qualifications euh elles sont très rudes	5
renaud laure manaudou ne sait pas fait tatouer sur le corps un papillon un lézard ou un marsupilami	euh renaud laure manaudou ne s' est pas fait tatouer sur le corps un papillon un lésar ou un mar suupil ami	5	euh renauld laure manaudou ne s' est pas fait d tatouer sur le corps un papillon un lésard ou un marchupilami	2
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au sénat j' on va s' en placer sera mon invité ce soir	2	écologiste au sénat j' en va s' emplacer sera mon invité ce soir	5
on on le connaît avec ses forces et faiblesses il était très tendu très irrité	on on le connaît effectivement s' il était très tendu très érité	1	on on le connaît avec ces forces et de blaces il était très tendu très gérité	6
mais le dossier jean jé colonna il est épais comme ça il était épais comme ça	le dossier changer colonna il est épais comme ça il était épais comme ça	2	mais le dossier jean-gy colonna il ést épais comme ça il était épais comme ça	5
c' était le mouvement de résistance défense de la france	c' était le mouvement de résistance des forces de la france	1	euh c' était le mouvement de résistance défense de de la france	6
formation professionnelle c' est un des points	professionnel c' est un des points	7	le prouvent seule c' est un des points	0
et la gare de saint pancras qui marque la fin de la grande transhumance des athlètes français un gros contingent	il y a la garde saint-ancrase qui marque à la fin de la grande transhimance des athlètes français un gros contingent	5	h yan lagarde saintpancraz qui marque la fin de la grande transimanance des athlètes français un gros contingent	2
elle pourrait rentrer dans un gouvernement ps	elle pourrait rentrer dans un gouvernement pé esse ma	7	elle e en va en tre e dans e n cout e e en le en les e es pa	0
coûté d' ailleurs à la majorité une partie de sa défaite de	écûté d' ailleurs à la majorité une partie de sa défaite de	3	(é)couter d' ailleurs à la majorité e une partie de sa défaite de	4
le spectacle salut les copains qui est prolongé	le spectacle salue les copains qui est prolongé	3	le spectacle salut des copains qui est prolongé	4
ensuite il faut voir quelle solution on apporte à cette difficulté là	ensuite il faut voir quelles solutions on apporte à cette difficulté là	6	euh ensuite il faut voir quelleles solution on apporte à cette difficulté-là	1
ciné richard gere le retour dans arbitrage philippe dufreigne	siée richard gen retour dans arbitrage philippe dufreigne	4	sidnéy richargir de retour dans arbitrage philippe dufreigne	3
coûtent les dépenses de santé chaque année il y aura des objectifs de dépenses qui seront fixés chaque année	coûte les dépenses de santé chaque année il y aura des objectifs de dépenses euh qui seront fixés chaque année	1	coûte les dépenses de santé chaque année il y aura des objectifs de dépense qui seront fixées chaque année	6
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	ai mais est-ce que ces entreprises françaises comme euh causmose savaient euh comment le régime utilisait leur marté leur matériel	4	ma is est-ce que ces entreprises françaises comme cosmose savaint euh comment le régime utilisait leur marteill() leur matériel	3
il y en a trois qui sont célibataires	il y en a trois ans célibataire	0	euh il y en a trois pas qui sont célibataires	7
qui pensent qu' il faut choisir pour les pour la population obtue pour les peuples obtus	qui pensent qu' il faut choisir pour les pour la population obtue pour les peuples optus	6	qui pensen qu' il faut choisir pour les pour la population otue pour les peuples obtus	1
et et il consacre sa une à nicolas sarkozy pas mal	consacre sa une à nicolas sarkozy pas mal	7	et el con ça que ça une à nicolas sarkozy pas mal	0
par le passé un certain nombre de boycott d' ailleurs	euh par le passé nun certain nombre de boycott d' ailleurs	1	euh par le passé un certain nombre de boycott d' ailleurs	6
autre atout qui ne vous mettra pas mal à l' aise dans cette saga une française	tout qui ne vous mettra pas mal à l' aise dans cette saga française	2	atout qui ne vous mettra pas mal à l' aise dans cette saga français	5
c' est différent alors pour répondre directement à bruno le maire que j' écoute toujours avec attention parce que	différents alors pour répondre directement bruno le maire j' écoute toujours avec attention parce que	4	est différent alors pour répondre directement oui bruno le mare moi j' écoute toujours avec attention parce que	3
au petit jeu du my tailor is rich	au petit jeu du mitaler iswich	5	au petit jeu du migtalon iswich	2
avec cinquante six pour cent des voix céline bracq bonjour vous êtes directrice adjointe de bva françois hollande progresse	avec cinquante six pour cent des voix céline bragg bonjour vous êtes directrice adjointe de bva françois hollande progresse	6	avec cinquante six pourcent des voix céline brague bonjour vous êtes directrice adjointe de bva françois hollande progresse	1
si jean luc mélenchon n' est pas le le troisième homme dimanche est ce que ce sera une déception	jean luc mélenchon n' est pas le le troisième homme dimanche et que ce serait une déception	0	si jean-luc mélenchon euh n' est pas le le troisième homme dimanche est-ce que ce seraait une déception	7
florence alors à la une des hebdos anne lauvergeon sans état d' âme	bougies alors à la une des hebdos anne lauvergeon sans état d' âme	6	flarane le rougi alors à la une des hebdo anne levergeonc sans état d' ame	1
soit on s' écoute à tour de rôle soit on se coupe la parole	c' est que vous êtes un tour de rôle je pense coupe la parole	0	suoi on s' écoute un tour de rôle j soit on se coupe la parole	7
chercher une surinterprétation au delà de ce simple	chercher une sur interprétation au-delà de ce simple	2	chercher une sur-interprétation au-delà de ce simple	5
peu m' importe parce que l' institut montaigne qui est un institut patronal	importe parce que l' institut montaigne qui était un institut patronal	0	peu m' importe parce que euh l' institut montaigne qui est un institut patronal euh	7
à mille huit cent cinquante euros brut	mille huit cents cinquante euros brut	0	à mille huit cents cinquante euros euh brut	7
à notre question ça vous fait sourire on peut au moins sourire de cette question simplement moi je voudrais	de votre question ça vous fait sourire on peut comment sourire de cette question euh simplement moi je voudrais	2	à d'outre question ça vous fait sourire on peut au moins s'ourire de cette question euh simplement moi je voudrais	5
un mot sympa pour tout le monde	ah bon sympa pour tout le monde	3	ah mon sympa pour tout le monde	4
après la remontée de nicolas sarkozy au moment de l' affaire merah	euh après la remontée de nicolas sarkozy au moment de l' a fermera	2	euh après la remontée de nicolas sarkozy au moment de l' affermera	5
et on voit aujourd'hui où se trouve la grèce alors justement est ce que c' est un business rentable	on voit aujourd' hui on se trouve la grèce euh justement si le c' est un businesse fontable	6	et on voit ou jour le ou se trouve la grassee justement si le c' est un bisines se ren table	1
ça elle l' a dit	l' a dit euh	1	çaelle l' a dit euh	6
je pense que y a énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	je pense qu' il y a énormément de français qui dans les derniers jours là vont avoir envie de s' exprimer	6	je pense que énormément de français qui dans les derniers jours là avont avoir envie de s' exprimer	1
nous sommes lassés des moulinets estivaux de monsieur montebourg	nous sommes enacés de les mouliners et estivaux de monsieur bontbourg	0	nous sommes lassés des moulinets et estivaux de monsieur montebourg	7
hollande a eu du mal à démarrer si je puis dire et après on n' a pas pu l' arrêter	euh hollande a eu du mal à démarrer si je puis dire et après i() on a pas pu l' arrêter	5	euh hollande a eu du mal à démarrer si je puis dire et après i() on ' a pas pu l' arrêter	2
en direct avec candice mahout qui prend elle aussi l' avion tout à l' heure	avec candice mahout qui prend un missile avant tout à l' heure	2	en direct aveclandis mao qui prend même aussi l aion tout à l' heure	5
coûtent les dépenses de santé chaque année il y aura des objectifs de dépenses qui seront fixés chaque année	les dépenses de santé chaque année il y aura des objectifs de dépenses qui seront fixés chaque année	1	coûte les dépenses de santé chaque année il y aura des objectifs de dépenses euh qui seront fixés chaque année	6
parce que tout va aller très vite	parce que tout va arriler très vite	7	parce que tout le mari est très bien	0
à chacun son style nous c' est encore façon gangnam qu' on le préfère	chacun son style nous fait encore face au préfet	1	à chacun son stile nous s' est encore face au gandlam conprisle frait	6
couacs quand enfin vous pouvez pas dire	quoi quand je je pouvais pas dire	1	quoi quand a a vous pouvez pas dire	6
si c' est	je suisse	1	si	6
si c' est	si	7	je suisse	0
tués par les nazis et je crois	tué par les nazi() euh je crois	6	tues pas les nasi euh je crois	1
le chiffre était	le chez côté	4	le chef fout de e	3
pour nous le dix huit novembre il y a un congrès	pour nous le dix-huit novembre y a un congrès	1	pour nous le dix-huit novembre il y a un congrès	6
ça n' a rien à voir c' est des histoires de contrat du service public	e n vai rien avoir c' est le des ees de on er a du service public	7	de a e vor ea a voi e le de e e e e de e a du ser vi e e e ei li	0
son énergie sa sa pêche son son intelligence	l' énergie sa sa pêche son son intelligence	1	son énergie sa sa pêche son son intelligence euh	6
le travail du ministre de la justice était de préparer un texte complétant	le travail du ministre de la justice est aitre préparer un texte compétent	3	le travail du ministre de la justice c ett-être préparé à un texte complétent	4
pas le pas l' avis général	pas le pas la visionnaire	2	pas le pas la viinie	5
sur la vie politique	dans la vie politique	7	c' est la de politique	0
trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l'objet de débat	4	trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débat	3
un un dernier mot sur sarkozy jérôme	d' ailleurs dernier mot sur sarkozy jérôme	3	un de(nier) un dernier mot sur sarkozy jérôme	4
bonjour christophe vous en êtes un autre	bonjour christophe vous en rez vvez un anrot	6	bonjour chistoche vous arrive vez en heur o	1
trente milliards on est passé entre deux mille sept on était à	milliards on est passé entre deux mille sept on mettait	2	trente milliards on est passé entre deux milles sept on atétaa(t)	5
oui mais ce qui est amusant c' est qu' ils y pensent maintenant c' est à dire	oui mais ce qui est amusant c' est qu' il n' y pense maintenant c' est à dire	1	oui mais ce qui est amusant c' est qu' ils y pense maintenant c' est-à-dire	6
qu' est ce	qu' est-ce	7	qu' e	0
que vous ne l' ayez pas mais je le pose aux cliniques privées	que vous ne l' yiez pas mais je le pose aux cliniques privé	6	que vousne l' ydez pas mais je le pose aux cliniques privées	1
en revenant à trois pour cent du déficit et c' est c' est douloureux avec un effort partagé et ciblé	en revenant à trois pour cent de défficit et c' est c' est touloureux avec un effort partagé et ciblé	3	en revenant à trois pourcent de déficit et c' est c' est touloureux avec un effort partagé et ciblé	4
on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	euh on on on s' est on on on le voit il y a des études extrêmement poussées qui montrent	4	euh on on on s' est on on on le voit y a des études extrêmement poussées qui montrent	3
bien alors je continue mon exemple pour y revenir parce que	alors je continue mon exemple il pourrait revenir parce que	3	bien alors je continuaes mon exemple j pourrai revenir parce que	4
voilà bon week end dans l' immédiat et à très bientôt	voilà euh bon week-end dans l' immédiat et à très bientôt	7	voilà euh bon week-end dans l' immédiat et a très bientôt	0
au delà de ça bien sûr j' aurais aimé qu' il soutienne l' écologie politique au delà	au-delà de ça bien sûr j' aurais aimé euh qui soutienne l' écologie politique au-delà	2	au-delà de ça bien sûr j' aurais aimé euh qu' il soutiennen l' écologie politique au-delà	5
rentrer dans le stade et puis après y a tout un défilé tout un protocole	en rentrer dans le stade et puis après y a tout un dilfet tout un protocole	1	rentrer dans le stade et puis après y a tout un dilefé tout un protocole	6
je sais pas s' il était avec nous florian gazan animateur radio sur fun radio qui était vraiment	passy est avec nous florian gazons animateur radio sur fun radio qui était vraiment	1	je sais pas s' il ést avec nous florient gazan an imateur radio sur fin de radio qui était vraiment	6
mais c' est vos	mais c' est veau(	4	mais c' est vous	3
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	ai mais est-ce que ces entreprises françaises comme euh causmose savaient euh comment le régime utilisait leur marté leur matériel	5	et mais est-ce que ces entreprises françaises comme cosmose savaient euh comment le régime utilisait laur marté(ri() leur matériel	2
donc attendons nous à ça et travaillons essentiellement sur l' idée de	attendons nous à ça et travaillons essentiellement sur l' idée de	1	donc attendons-nous à ça et travaillons essentiellement sur l' idée de	6
alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les	j' ai entendu un peu la démagogie sur les collectivités sur les	5	alors j' ai entendu un peu la démagogie sur les collectivités euh sur les euh	2
écoutez c' est hamas qui a commencé à bombarder	écoutez c' est un masse qui a commencé à bombarder	1	écoutez c' est amas qui a commencé à bombarder	6
aux biens non ce constat	combien en ce constat	4	tôt bien enant ce constat	3
décortiquons cher christophe bonjour	décortiquant jacqueschristophe bonjour	6	des corticans jacques christophe bonjour	1
voilà bon week end dans l' immédiat et à très bientôt	bon week end dans l' immédiat et à très bientôt	3	voilà euh bon week-end dans l' immédiat et a très bientôt	4
entre monsieur lakshmi mittal	monsieur lakshmi mittal	2	entre monsieur lachemi mittal	5
remède ici j' en ai entendu tout à l' heure quelques propositions	remède ici j' en ai entendu tout à l' heure quelquesos propositions	6	rema de ici j' en ai entendu tout à l' heure quelque propr position	1
le donc pas de cravate le le week end prochain	le de pas de cravate le le week-end prochain	7	le ne pas de tralat le le week-end prochain	0
on peut avoir deux visions de la famille une famille qui exclut comme vous le faites	peut avoir deux visions de la famille une famille qui exclut comme vous le faites	3	on peut avoir deux visions de la famille une famille qui exclue comme vous le faites	4
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	regardez partout en me disant quoi il s' est vraiment passé des choses incroyables	4	j' ai regardé partout en me disant cours il s' est vraiment passé des choses incroyables	3
il y a une résignation alors y a des manifestations mais est ce que y a un plan b	il y a une résignation alors il y a des manifestations mais est-ce que il y a un plan bé	5	il y a une rédignation alors il y a des manifestations mais est-ce que il y a un plan b	2
mais j' espère que vous ne croyez pas que nous faisons ça cela de gaieté de coeur	j' espère que vous ne croyez pas que nous faisons ça cela de gaieté de coeur	7	et euh t j' espère que vous ne croyez pas que nous faisons ça cela de gaieté de coeur	0
tous les deux prennent le maximum de risques et vous et moi spectateurs	les deux prennent le maximum de risques et vous et moi spectateurs	7	tous les deux prennent le maximum de risque et vous et moi un spectateur	0
il va être déposé	va être déposée	0	il va être dépo(sé)	7
je l' avais rencontré quand il il jouait au point virgule dans le marais	j' avais rencontré quand il jouait au point virgule	4	je l' avais rencontré quand ili il jouait au point virgule i dans le marragon	3
ce qui ce qui eut été	ce qui est ce qui a été	2	oui ce qui ce qui eut été	5
bonsoir catherine frot	bonsoir catherine froux	0	bonsoir catherine frau	7
pour la russie comme pour la france	ici	0	pour la russie internationale	7
tout l' olympia pour lui il était à son apogée réservoir prod était vraiment la boîte de tous les succès	l' olympia pour lui était à son apogée réservoirs prend d' été la boîte de tous les succès	0	tout l' olympia pour lui il était à son apoggé réservoir pro d' était vraiment la boîite de tous les succès	7
après quelques jours de cavale c' est aujourd'hui que les autorités espagnoles les ont extradés vers la france	après quelques jours de cavale euh c' est aujourd' hui que les autorités espagnoles les ont extradées vers la france	4	après quelques jours de caval euh c' est aujourd' hui que les autorités espagnoles les ont extradés vers la france	3
on là on va mettre une demie heure un professeur et trente enfants	là on va mettre une demi heure au vent un professeur et trente enfants	2	on l' a on va mettre une demi-heure on va un professeur et trente enfants	5
qu' elle a même été embauchée par eddie barclay comme secrétaire trilingue	qu' elle a même été embauchée par édy barqueley comme secrétaire t trillingue	4	qu' elle a même été embauchée par aidy barklay comme secrétaire trilingu	3
parce qu' il y avait de la confiance et de l' amitié et quand on se retourne sur cette période	est ce qu' il y avait de la confiance et de l' amitié et quand on se retourne sur cette période	4	parce qu' il y avait de la confiance c et de l'amidié et quand on se retourne sur cette période	3
il me manque une direction	qu' une direction	0	il m' manque une direction	7
le donc pas de cravate le le week end prochain	tout de même pas cravate le le week end prochain	7	le ne pas de tralat le le week-end prochain	0
donc on va on va le laisser vous répondre	donc on va on va le laisser vos répondres	6	donc on va on va le laisser vos réponde	1
ces réformes structurelles vous les abandonnez personnellement je le regrette beaucoup	ces réformes structurelles vous les abandonnes personnellement je le regrette beaucoup	2	ces réformes structurelles vous les abandonner personnellement je le regrette beaucoup	5
moi quand j' étais à valeurs actuelles nicolas sarkozy ne nous voyait pas donc	moi candidat à l' heure actuelle euh nicolas sarkozy ne nous voyait pas donc un	1	moi quand j lidais à l' heure actuelle le euh nicolas sarkozy ne nous voyait pas donc euh	6
sur un détail la trajectoire peut être faussée	sur un détailuh la trajectoire peut être faussée	3	sur un détailh la trajectoire peut être fassée	4
un excès de testostérone risque de stériliser le débat des idées dans cette campagne et ça serait vraiment dommage	excès testoterron risque de stériliser le débat des idées dans cette campagne ce serait vraiment dommage	7	excet e stosteron risque de stériliser le débat des idées dans cette campagne ce serait vraiment dommage	0
à jacques chirac qui peut être vous en souvenez vous en quatre vingt un	jacques chirac qui peut est vous en souvenez vous en quatre vingt un	1	à jacques chicarac qui peut-être vous en souvenez-vous en quatre-vingt un	6
quatre cent cinquante pompiers français sont venus soutenir leurs collègues espagnols le relief accidenté ne leur facilite pas la tâche	quatre cents cinquante pompiers français sont venus soutenir leurs collègues espagnols le relief accidenté ne leur facilite pas la tâche	5	quatre cent cinquante pompiers français sont venus soutenir leurs collègues espagnols le relief faccidenté ne leur facilite pas la tâche	2
le le début de centres nucléaires militaires	le début du centre nucléaire militaire	7	le le le début de centres nuclé militaires	0
que sur des mesures d' austérité certes elles sont nécessaires ça vient d' être dit mais il faut aussi	que sur des mesures d' austérité certaines sont nécessaires euh ça vient d' être dit mais il faut aussi euh	0	que sur des mesures d' austérité certes elles sont nécessaires euh ça vient d' être dit mais il faut aussi euh	7
a su résister à l' agressivité qui était celle régulièrement de nicolas sarkozy	euh a su euh résister à l' agressivité qui était celle régulièrement euh de nicolas sarkozy	5	euh a su euh résister à l' agressivité qui était celle régulièrementh de nicolas sarkozy	2
de service public	service public	6	de servvies public	1
il faut être respectueux de notre histoire et en même temps capable de se projeter dans l' avenir	il faut être respectueux de notre histoire et en même temps carnable de se procher dans l' avenir	0	i(l faut être respectueux de notre histoire et en même temps capable de se projeter dans l' avenir	7
on l' avait laissé y a onze mois	avait laissé il y a onze mois	6	on avait l' essay à onze mois	1
mais qui risque demain d' avoir des difficultés pour l' entreprise ou autre	mais qui risque demain d' avoir des difficultés pour l' entreprise de hautre	0	mais qui risque demain d' avoir des difficultés pour l' entreprise et hautre	7
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	j' ai regardé partout en me disant quo et c' est vraiment passé des choses incroyables	6	j' i regardez partout en me disant quoire il c' est vraiment passé des choses incroyables	1
puis les candidats speak t il english	puis les candidats spiquent ylin glich	0	puis les candidats spictil ing glich	7
c' est pas c' est pas ce que je dirais bien évidemment	ce qui me paraît ce n' est pas ce que je dirai bien évidemment	6	c' est pas parce que je dirais bien évidemment	1
arrivée de la dégradation orageuse de l' aquitaine à la région lilloise encore du soleil en allant	arrivée de la dégradation rageuse de l' aquitaine à la région lilloise encore du soleil en allant	1	arrivé de la dégradation orageuse de l' aquitaine à la région lilloise encore du soleil en allant	6
dans le quinquennat précédent donc vous voyez	le quinquennat précédent dont vous voyez	2	dans le quinquennat u précédent donc vous voyez euh	5
cinquante milliards d' euros de hausse de recettes cumulés à une baisse du même montant des dépenses	cinquante milliards d' euros de hausse de recettes cumulées à une baisse du même montant des dépenses	6	cinquante milliards d' euros de hausse de recettes cumulée à une baisse du même montant des dépenses	1
nous sommes avec une spécialiste de l' espagne économiste à l' ofce danielle schweisguth	nous sommes avec une spécialiste de l' espagne économiste à l' oce danielchwis goutth	1	nous sommes avec une spécialiste de l' espagne économiste à l' olce danièl schwise got	6
à dix neuf heures trente dans une petite heure maintenant william and kate avec la flamme à buckingham palace	a dix neuf heures trente dans une petite heure maintenant william nk7 avec la flamme à buckingham palace	0	à dix-neuf heures trente dans une petite heure maintenant william ankeitt avec la flamme à bukingham palace	7
ait été et laisse dans l' histoire un immense trace une immense trace comme patronne de	euh ait été et laisse dans l' histoire euh un immense euh trace une immense trace comme patre de	0	euh ait été et laisse eu dans l' histoire euh euh un immense euh trace une immense trace comme patrone de	7
dont quatorze règlements de compte et douze tentatives	quatorze règlements de comptes et douze tentatives	3	donc quatorze règlements de comptes et douze tentatives	4
très très mal supporté une grand mère qui qui qu' il vénérait et enfin	euh très très mal supporté une grand-mère qui qu'i qu' il qu' il vénérait enfin	7	euh très très mal supporté une grand-mère qui qui qui l) qui le vénérer enfin	0
nos artistes qui font du cirque pour la bonne cause	artistes qui font du cirque pour la bonne cause	7	nos artistes qui font du sière pour la bonne cause	0
ça va être le début on est dans les starting blocs et on espère que ça va bientôt partir	ça va être le début on est dans les starting bloks et on espère que ça va bientôt partir	4	cela va être le début on est dans les starting block et on espère que ça va bientôt partir	3
on est quand même beaucoup plus tranquille	on est quand même euh beaucoup plus tranquilles	1	on est quand même euh beaucoup plus tranquille	6
coincée un peu	e coincé un peu	7	qoincer un peu	0
ou un bras cassé pour une personne de quatre vingt ans c' est pas du tout la même chose	un bras cassé pour une personne de quatre vingt ans c' est pas du tout la même chose	1	ou un bras cassé pour une personne de quatre-vingt ans c' est pas du tout la même chose	6
avec pugnacité marie labat	avec pubnacité marie laben	0	avec pugnacité marie laban	7
vous savez de la justice en général on attend pas on attend pas qu' elle soit	vous savez de la justice en général on n' attend pas on n' attend pas qu' elle soit	5	vous savez de la justice en général on n' attend pas on n attend pas qu' elle soit	2
et nous on souhaite avec geoffroy et beaucoup de de militants de responsables dans les départements de parlementaires	nous on souhaite avec geoffroy et beaucoup de de militants de rester dans les départements de parlementaires	7	et nous on souhaite avec jeu froid et beaucoup de de militants de reoi) dans les départements de parlementaires	0
nous sommes trois à nous départager	sommes trois à nous départ c' est vrai	1	nous sommes trois à nous déparceler	6
n' ont plus le même âge	non ont plus le même âge	7	nont plus le même a	0
il fait du vélo dit votre fille	du vélo	1	il fait du vélo de votre fillehein	6
puis les candidats speak t il english	puis les candidat spektey inglisch	0	puis les candidats spicktil inglich	7
ça a bugué	ça un veut g bien	0	ça u veut guait	7
la folie fifty cent	la folie fic ti sèn	7	la folie pipe ti sèn	0
parce que tout va aller très vite	est ce que tout va aller très vite	2	parce que tout va arriler très vite	5
et jean marie le guen siégeait déjà avec moi dans cette assemblée	et jean-marie le guan siéjeait déjà avec moi dans cette assemblée	0	et jean-marie le guen siégeait déjà avec moi dans cette assemblée	7
un sabotage insupportable	sabotage insupportable	3	un sabotage euh insupportable	4
si jean luc mélenchon n' est pas le le troisième homme dimanche est ce que ce sera une déception	si jean-luc mélenchon euh n' est pas le le troisième homme dimanche est-ce que ce sera une déception	6	si jean-luc mélenchon euh n' est pas le le troisième homme dimanche est-ce que ce serai une déception	1
y aura des représailles côté hamas	qu il y aura des représailles côtéamas	1	qu il y aura des représailles côté hamas	6
heureusement qu' on l' a beaucoup réduit	donc de chmbre qu on l' a beaucoup réduit	4	donc le chande on l' a beaucoup réduit	3
on parle beaucoup aussi bien sûr de laure manaudou	on parle beaucoup aussi bien sûr de leur ma	0	on parle beaucoup aussi bien sûr de l' aure manoudou	7
il ne faut pas s' s' en étonner	il ne faut pas s' en étonner	5	il ne faut pas s() s' en étonner	2
c' est la mouise pour beaucoup	c' est la mouilleuse pour beaucoup	5	c' est la bouillese pour beaucoup de peuqeu	2
s' étaient trop facilement accommodés	était trop facilement accommoder	0	c' était trop facilement accommodé	7
enfin vingt milliards d' impôts et dix milliards d' économies	dix milliards d' économies	2	vingt vingt milliards d' impôts no et dix milliards d' économie e e pte)	5
alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	euh alors on on en souvenir euh pékin bien entendu c' était politique mais alors londres	0	euh alors on on a en souvenir euh pékin bien entendu c' était politique mais alors londres	7
il y a une résignation alors y a des manifestations mais est ce que y a un plan b	est une résignation alors il y a des manifestations mais à ce que il y a un plan b	0	il y a une résignation alors il y a des manifestations mais est-ce que il y a un plan bé	7
la droite dit c' est le prix du travail c' est le prix bien	vendredi c' est le prix du travail c' est le bien	1	un droit de dit c' est le prix du travail c' est le pi bien	6
qu' entre temps le fameux observatoire a changé	temps de le fameux observe tant a changé	1	qu' entre temps le fameux observateur a changé	6
j moins un	j' y mois un	2	ji mois un	5
ce soir on a retrouvé le climat des européennes et ça c' est parce qu' elle était enfin dans la	ce soir on a retrouvé le climat des européennes et ça c' est parce qu' elle étaitée en bon	3	ce soit on a retrouvé le climat des européennes et ça c' est parce qu' elle était ona	4
quand il était vraiment	il était vraiment	1	quand il étaient vraiment	6
s' il vous	z il vous	7	tezl vos	0
henri emmanuelli dire que on va devoir travailler plus tard	henri emmanuelli euh dire que on va devoirler plus tard au dé( c' est	1	henri emmanuelli euh dire que on va travailler plus tard au débat c' est-à-dire que	6
moi ce que je vous propose c' est que on ait un bref un bref tour	ce que je vous propose c' est que on est un bref euh à bref tour	1	ce que je vous propose c' est que on est un bref euh un breftour	6
et nous c' est pareil on est pas heureux et eux non plus on doit vraiment trouver une solution	et nous c' est pareil ils sont pas heureux et eux non plus on doit vraiment trouver une solution	7	mais nous c' est pareil o e pas eureu e e eu non puse oo e o e trè o o oe ma oe nous do e re non trouver une solution no o o noo pas o o n pao	0
c' est le front national le chevalier	c' est le front de la sle jean	3	c' est le front ne son je	4
honoré au festival lumière le réalisateur qu' on sait engagé en a profité pour se révolter	honoé au festival lumière le réalisateur conait engagé en a profité pour se révolter	1	honorér au festival lumière le réalisateur con s'ait engagé on a profité pour se révolter	6
mais qui est français	mais qui es français	7	iquée français	0
